,image_id,path,diag,target,Class
0,Tumor- (1044),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1044).jpg",Tumor,3,Tumor
1,Tumor- (83),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (83).jpg",Tumor,3,Tumor
2,Tumor- (580),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (580).jpg",Tumor,3,Tumor
3,Tumor- (1701),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1701).jpg",Tumor,3,Tumor
4,Tumor- (1220),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1220).jpg",Tumor,3,Tumor
5,Tumor- (249),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (249).jpg",Tumor,3,Tumor
6,Tumor- (356),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (356).jpg",Tumor,3,Tumor
7,Tumor- (52),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (52).jpg",Tumor,3,Tumor
8,Tumor- (501),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (501).jpg",Tumor,3,Tumor
9,Tumor- (948),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (948).jpg",Tumor,3,Tumor
10,Tumor- (1724),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1724).jpg",Tumor,3,Tumor
11,Tumor- (2077),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2077).jpg",Tumor,3,Tumor
12,Tumor- (2240),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2240).jpg",Tumor,3,Tumor
13,Tumor- (389),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (389).jpg",Tumor,3,Tumor
14,Tumor- (1616),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1616).jpg",Tumor,3,Tumor
15,Tumor- (911),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (911).jpg",Tumor,3,Tumor
16,Tumor- (1178),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1178).jpg",Tumor,3,Tumor
17,Tumor- (186),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (186).jpg",Tumor,3,Tumor
18,Tumor- (1599),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1599).jpg",Tumor,3,Tumor
19,Tumor- (496),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (496).jpg",Tumor,3,Tumor
20,Tumor- (193),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (193).jpg",Tumor,3,Tumor
21,Tumor- (1305),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1305).jpg",Tumor,3,Tumor
22,Tumor- (1189),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1189).jpg",Tumor,3,Tumor
23,Tumor- (2151),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (2151).jpg",Tumor,3,Tumor
24,Tumor- (637),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (637).jpg",Tumor,3,Tumor
25,Tumor- (1232),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1232).jpg",Tumor,3,Tumor
26,Tumor- (22),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (22).jpg",Tumor,3,Tumor
27,Tumor- (1266),"/content/data/CT KIDNEY DATASET Normal, CYST, TUMOR and STONE/TUMOR/Tumor- (1266).jpg",Tumor,3,Tumor
